Trial,SOA,Target,Response,Accuracy,randomGator
53,150,bl,tl,0,Calsoyasuchus_valliceps
54,180,tr,tr,1,Calsoyasuchus_valliceps
55,90,br,br,1,Calsoyasuchus_valliceps
56,120,br,tl,0,Calsoyasuchus_valliceps
57,150,tl,tl,1,Calsoyasuchus_valliceps
58,150,tr,br,0,Calsoyasuchus_valliceps
59,30,tr,bl,0,Calsoyasuchus_valliceps
60,30,bl,br,0,Calsoyasuchus_valliceps
61,60,tl,tl,1,Calsoyasuchus_valliceps
62,30,bl,bl,1,Calsoyasuchus_valliceps
63,30,bl,tr,0,Calsoyasuchus_valliceps
64,90,tl,tl,1,Calsoyasuchus_valliceps
65,0,tr,br,0,Calsoyasuchus_valliceps
66,90,br,br,1,Calsoyasuchus_valliceps
67,180,tr,tr,1,Calsoyasuchus_valliceps
68,150,bl,br,0,Calsoyasuchus_valliceps
69,150,br,tr,0,Calsoyasuchus_valliceps
70,120,tr,tl,0,Calsoyasuchus_valliceps
71,180,tl,tl,1,Calsoyasuchus_valliceps
72,0,br,br,1,Calsoyasuchus_valliceps
73,30,br,br,1,Calsoyasuchus_valliceps
74,60,tl,tl,1,Calsoyasuchus_valliceps
75,0,bl,bl,1,Calsoyasuchus_valliceps
76,150,tr,tr,1,Calsoyasuchus_valliceps
77,60,tr,tl,0,Calsoyasuchus_valliceps
78,90,tl,tl,1,Calsoyasuchus_valliceps
79,0,tl,tl,1,Calsoyasuchus_valliceps
80,150,bl,bl,1,Calsoyasuchus_valliceps
81,90,bl,bl,1,Calsoyasuchus_valliceps
82,120,bl,tl,0,Calsoyasuchus_valliceps
83,180,tl,tl,1,Calsoyasuchus_valliceps
84,180,bl,bl,1,Calsoyasuchus_valliceps
85,30,tl,tl,1,Calsoyasuchus_valliceps
86,60,tl,tl,1,Calsoyasuchus_valliceps
87,60,tr,bl,0,Calsoyasuchus_valliceps
88,60,bl,tl,0,Calsoyasuchus_valliceps
89,60,br,bl,0,Calsoyasuchus_valliceps
90,180,bl,bl,1,Calsoyasuchus_valliceps
91,90,tl,br,0,Calsoyasuchus_valliceps
92,90,bl,bl,1,Calsoyasuchus_valliceps
93,120,br,tl,0,Calsoyasuchus_valliceps
94,120,bl,bl,1,Calsoyasuchus_valliceps
95,180,tl,tl,1,Calsoyasuchus_valliceps
96,180,bl,bl,1,Calsoyasuchus_valliceps
97,180,br,bl,0,Calsoyasuchus_valliceps
98,0,tl,tl,1,Calsoyasuchus_valliceps
99,0,bl,bl,1,Calsoyasuchus_valliceps
100,60,tl,br,0,Calsoyasuchus_valliceps
101,60,bl,bl,1,Calsoyasuchus_valliceps
102,60,br,bl,0,Calsoyasuchus_valliceps
103,90,tl,tl,1,Calsoyasuchus_valliceps
104,90,bl,bl,1,Calsoyasuchus_valliceps
105,90,br,bl,0,Calsoyasuchus_valliceps
106,120,tl,tl,1,Calsoyasuchus_valliceps
107,120,br,br,1,Calsoyasuchus_valliceps
108,150,tl,tl,1,Calsoyasuchus_valliceps
109,150,tr,bl,0,Calsoyasuchus_valliceps
110,150,bl,bl,1,Calsoyasuchus_valliceps
111,180,tr,tl,0,Calsoyasuchus_valliceps
112,0,br,br,1,Calsoyasuchus_valliceps
113,60,tl,tl,1,Calsoyasuchus_valliceps
114,60,bl,tl,0,Calsoyasuchus_valliceps
115,60,br,bl,0,Calsoyasuchus_valliceps
116,90,tl,tl,1,Calsoyasuchus_valliceps
117,90,bl,bl,1,Calsoyasuchus_valliceps
118,120,tl,tl,1,Calsoyasuchus_valliceps
119,120,bl,bl,1,Calsoyasuchus_valliceps
120,120,br,tr,0,Calsoyasuchus_valliceps
121,150,tr,br,0,Calsoyasuchus_valliceps
122,150,bl,bl,1,Calsoyasuchus_valliceps
123,180,tl,tl,1,Calsoyasuchus_valliceps
124,180,tr,tr,1,Calsoyasuchus_valliceps
125,0,tl,tl,1,Calsoyasuchus_valliceps
126,180,tr,tr,1,Calsoyasuchus_valliceps
127,60,tl,tl,1,Calsoyasuchus_valliceps
128,60,br,tl,0,Calsoyasuchus_valliceps
129,60,bl,tl,0,Calsoyasuchus_valliceps
130,30,tl,tl,1,Calsoyasuchus_valliceps
